"","SampleID","NOAASampleNumber","NOAASetName","SampleType","Species","MPG","RiverSystem","Site","Habitat","SnohomishONLYRegion","LifeHistory","MeanCompFL_mm","MeanCompWt_g","CountOfHATCHERYfishInComp","CountOfNATURALfishInComp","%Natural","MajorityOrigin","CollectionDate","Lipids_%","HCB ","aHCH ","bHCH ","lindane ","SumHCHs ","achlor ","cno ","bchlor ","hept ","HPE ","no3 ","oxychlor ","tno ","SumCHLDs ","aldrin ","diel ","mirex ","eslf1 ","cb17 ","cb18 ","cb28 ","cb31 ","cb33 ","cb44 ","cb49 ","cb52 ","cb66 ","cb70 ","cb74 ","cb82 ","cb87 ","cb95 ","cb99 ","cb101 ","cb105 ","cb110 ","cb118 ","cb128 ","cb138 ","cb149 ","cb151 ","cb153 ","cb156 ","cb158 ","cb170 ","cb171 ","cb177 ","cb180 ","cb183 ","cb187 ","cb191 ","cb194 ","cb195 ","cb199 ","cb205 ","cb206 ","cb208 ","cb209 ","Sum40CBs ","TotalPCBs ","opDDD ","opdde ","opDDT ","ppDDD ","ppDDE ","ppDDT ","SumDDTs ","BDE28 ","BDE47 ","BDE49 ","BDE66 ","BDE85 ","BDE99 ","BDE100 ","BDE153 ","BDE154 ","BDE155 ","BDE183 ","SumBDE ","Br5DE04 ","Br5DE05 ","Br6DE01 ","Br7DE01 ","SampleFlag","SampleNote","Task_number","LabStartDate","InstDateCH","Project","PeakAreaN_Vs","PercentN","PercentN_Accuracy","PercentN_Precision","d15NvsAirN2_permil","d15N_Accuracy","d15N_Precision","PeakAreaC_Vs","PercentC","PercentC_Accuracy","PercentC_Precision","d13CvsVPDB_permil","d13C_Accuracy","d13C_Precision","PeakAreaS_Vs","PercentS","PercentS_Accuracy","PercentS_Precision","d34SvsVCDT_permil","d34S_Accuracy","d34S_Precision"
"1","16ST-TW_Dfp01r1","119-3459","PS3405","Whole Body Minus Guts","Chinook salmon","Central Eastern","Stilliguamish ","Zis a bah","Delta",NA,"fry/parr",48.6175,1.625,0,4,100,"Wild","Spring 2016",1.05558158425454,"< 0.20","< 0.20","< 0.20","< 0.20","< 0.20","< 0.20","< 0.20","< 0.20","< 0.20","< 0.20","< 0.20","< 0.59","< 0.20","< 0.59","< 0.20","0.5","< 0.20","< 0.59","< 0.20","0.24","0.22","0.26","< 0.20","< 0.20","< 0.21","< 0.20","< 0.20","< 0.20","< 0.20","< 0.20","< 0.20","< 0.20","0.22","0.34","< 0.20","0.36","0.4","< 0.21",0.69,"0.3","< 0.20",0.75,"< 0.20","< 0.20","< 0.21","< 0.21","< 0.21","< 0.20","< 0.20","< 0.20","< 0.21","< 0.20","< 0.20","< 0.21","< 0.20","< 0.20","< 0.20","< 0.20",3.8,5.3,"< 0.20","< 0.21","< 0.20","< 0.20",3.2,"0.45",3.7,"NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR",NA,NA,"PSJuvChin16A",2016-08-25,2016-11-07,"2016_Juvenile_Chinook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","16ST-TW_Dfp01r2","119-3460","PS3405","Whole Body Minus Guts","Chinook salmon","Central Eastern","Stilliguamish ","Zis a bah","Delta",NA,"fry/parr",71.7175,4.125,2,2,50,"Hatchery/Wild","Spring 2016",1.16638342021089,"< 0.25","< 0.24","< 0.25","< 0.25","< 0.25","< 0.25","< 0.25","< 0.25","< 0.25","< 0.25","< 0.25","< 0.71","< 0.25","< 0.71","< 0.25","0.35","< 0.25","< 0.72","< 0.25","0.26","< 0.25","< 0.25","< 0.25","< 0.25","< 0.25","< 0.25","< 0.25","< 0.25","< 0.25","< 0.25","< 0.25","< 0.25","< 0.25","0.32","< 0.25","0.35","0.42","< 0.25",0.77,"0.32","< 0.25",0.81,"< 0.25","< 0.25","< 0.25","< 0.25","< 0.25","< 0.25","< 0.25","< 0.25","< 0.25","< 0.25","< 0.25","< 0.25","< 0.25","< 0.25","< 0.25","< 0.25",3.3,5.2,"< 0.25","< 0.25","< 0.25","< 0.24",2.29999999999999,"0.37",2.6,"NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR",NA,"Sample used up.","PSJuvChin16A",2016-08-25,2016-11-07,"2016_Juvenile_Chinook",165.647,13.0981,-0.14002,0.087286,12.6747,-0.10673,0.052582,97.225,42.1376,0.36017,1.8832,-17.2402,0.061567,0.035394,56.939,0.9614,-0.041718,0.1494,13.783,-0.18225,0.18161
"3","16ST-TW_Dfp02","119-3461","PS3405","Whole Body Minus Guts","Chinook salmon","Central Eastern","Stilliguamish ","Delta Purple Martin Way","Delta",NA,"fry/parr",72.362,4.34,5,0,0,"Hatchery","Spring 2016",2.66474412976801,"0.35","< 0.21","< 0.21","< 0.21","< 0.21","< 0.21","< 0.21","< 0.21","< 0.21","< 0.22","< 0.21","< 0.62","0.23","0.23","< 0.21","0.24","< 0.21","< 0.62","< 0.21","0.32","0.28999999999999898","0.31","< 0.21","< 0.21","< 0.22","0.25","< 0.21","0.26","< 0.21","< 0.21","< 0.22","< 0.21","0.36","0.54","0.25","0.49","0.57999999999999896","< 0.22",1.1,"0.51","< 0.21",1.2,"< 0.21","< 0.21","< 0.22","< 0.22","< 0.22","0.28000000000000003","< 0.21","0.33","< 0.22","< 0.22","< 0.22","< 0.22","< 0.22","< 0.21","< 0.22","< 0.21",7.1,10,"< 0.21","< 0.22","< 0.21","0.22",2.4,"< 0.22",2.7,"NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR",NA,"Sample used up.","PSJuvChin16A",2016-08-25,2016-11-07,"2016_Juvenile_Chinook",170.482,11.1794,-0.14002,0.087286,11.6162,-0.10673,0.052582,119.341,42.8868,0.36017,1.8832,-20.357,0.061567,0.035394,49.832,0.8395,-0.041718,0.1494,12.2185,-0.18225,0.18161
"4","16ST-TW_Dfp03","119-3462","PS3405","Whole Body Minus Guts","Chinook salmon","Central Eastern","Stilliguamish ","Synova Beach","Delta",NA,"fry/parr",77.574,6.06,5,0,0,"Hatchery","Spring 2016",2.36278083134245,"0.36","< 0.18","< 0.19","< 0.19","< 0.19","< 0.19","< 0.18","< 0.18","< 0.19","< 0.19","< 0.19","< 0.53","0.32","0.32","< 0.19","0.31","< 0.19","< 0.53","< 0.18","0.31","0.31","0.33","0.2","< 0.19","0.2","0.26","0.2","0.25","< 0.19","< 0.18","0.2","0.21","0.4","0.55000000000000004","0.28999999999999898","0.5","0.66","< 0.19",1.2,"0.46","< 0.19",1.3,"< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","0.34","< 0.19","0.31","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19",8.5,12,"< 0.19","< 0.19","< 0.19","0.23",2.6,"< 0.19",2.9,"< 0.18","0.99","0.26","< 0.19","< 0.19","0.21","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","1.5","< 0.19","< 0.19","< 0.19","< 0.19",NA,NA,"PSJuvChin16A",2016-08-25,2016-11-07,"2016_Juvenile_Chinook",193.387,12.1199,-0.14002,0.087286,11.6335,-0.10673,0.052582,131.215,45.073,0.36017,1.8832,-20.5724,0.061567,0.035394,51.254,0.85234,-0.041718,0.1494,10.9348,-0.18225,0.18161
"5","16ST-TW_Dfp04r1","119-3463","PS3405","Whole Body Minus Guts","Chinook salmon","Central Eastern","Stilliguamish ","Clown Channel","Delta",NA,"fry/parr",50.4666666666667,1.57777777777778,0,9,100,"Wild","Spring 2016",1.23687900432971,"0.15","< 0.11","< 0.11","< 0.11","< 0.11","< 0.11","< 0.11","< 0.11","< 0.11","< 0.11","< 0.11","< 0.31","0.18","0.18","< 0.11","0.11","< 0.11","< 0.31","0.12","0.31","0.27","0.31","0.2","0.13","0.14000000000000001","0.17","0.13","0.19","< 0.11","< 0.11","0.16","0.13","0.27","0.42","0.23","0.41","0.5","0.16",0.94,"0.37","0.11",1.1,"< 0.11","< 0.11","0.13","< 0.11","< 0.11","0.28000000000000003","< 0.11","0.26","< 0.11","< 0.11","< 0.11","< 0.11","< 0.11","< 0.11","< 0.11","< 0.11",7.4,10,"< 0.11","< 0.11","< 0.11","< 0.11",1.8,"0.11",1.9,"< 0.11","1.2","0.26","< 0.11","< 0.11","1.4","0.28999999999999898","< 0.11","< 0.11","< 0.11","< 0.11","3.1","< 0.11","< 0.11","< 0.11","< 0.11",NA,"Sample used up.","PSJuvChin16A",2016-08-25,2016-11-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","16ST-TW_Dfp04r2","119-3464","PS3405","Whole Body Minus Guts","Chinook salmon","Central Eastern","Stilliguamish ","Clown Channel","Delta",NA,"fry/parr",66.4383333333333,3.7,4,2,33.3333333333333,"Hatchery","Spring 2016",2.23749367154366,"0.27","< 0.098","< 0.10","< 0.10","< 0.10","< 0.10","< 0.099","< 0.099","< 0.10","< 0.10","< 0.10","< 0.29","0.27","0.27","< 0.10","0.15","< 0.10","< 0.29","0.13","0.34","0.32","0.37","0.22","0.18","0.19","0.28000000000000003","0.19","0.24","0.13","< 0.099","0.17","0.2","0.4","0.49","0.26","0.46","0.56999999999999895","0.19",1.2,"0.43","0.14000000000000001",1.4,"< 0.10","< 0.10","0.14000000000000001","< 0.10","< 0.10","0.34","0.12","0.27","< 0.10","< 0.10","< 0.10","< 0.10","< 0.10","< 0.10","< 0.10","< 0.10",9.3,12,"< 0.10","< 0.10","< 0.10","0.19",2.29999999999999,"0.15",2.6,"< 0.099","0.8","0.25","< 0.10","< 0.10","0.27","0.17","< 0.10","< 0.10","< 0.10","< 0.10","1.5","< 0.10","< 0.10","< 0.10","< 0.10",NA,NA,"PSJuvChin16A",2016-08-25,2016-11-07,"2016_Juvenile_Chinook",189.018,11.7318,-0.14002,0.087286,11.6471,-0.10673,0.052582,127.165,43.2597,0.36017,1.8832,-20.676,0.061567,0.035394,55.164,0.91944,-0.041718,0.1494,11.1786,-0.18225,0.18161
"7","16ST-TW_Hp01","119-3465","PS3405","Whole Body Minus Guts","Chinook salmon","Central Eastern","Stilliguamish ","NF Stilly Whitehorse Hatchery","Hatchery",NA,"parr",71.01,4.1,6,0,0,"Hatchery","Spring 2016",5.97974252749131,"0.36","< 0.098","< 0.10","< 0.10","< 0.10","< 0.10","< 0.099","< 0.099","< 0.10","< 0.10","< 0.10","0.47","0.26","0.73","< 0.10","0.15","< 0.10","< 0.29","0.16","0.41","0.39","0.44","0.27","0.24","0.27","0.39","0.25","0.34","0.17","< 0.099","0.2","0.33","0.43","0.69","0.31","0.63","0.68","0.18",1.2,"0.62","0.18",1.4,"< 0.10","< 0.10","0.12","< 0.10","0.11","0.3","0.1","0.36","< 0.10","< 0.10","< 0.10","< 0.10","< 0.10","< 0.10","< 0.10","< 0.10",11,14,"< 0.10","< 0.10","< 0.10","0.32",2.8,"< 0.10",3.2,"< 0.099","0.68","0.27","< 0.10","< 0.10","0.2","0.13","< 0.10","< 0.10","< 0.10","< 0.10","1.3","< 0.10","< 0.10","< 0.10","< 0.10",NA,NA,"PSJuvChin16A",2016-08-25,2016-11-07,"2016_Juvenile_Chinook",135.052,9.5272,-0.14002,0.087286,11.9037,-0.10673,0.052582,117.143,45.2647,0.36017,1.8832,-20.867,0.061567,0.035394,44.924,0.75903,-0.041718,0.1494,13.0708,-0.18225,0.18161
"8","16ST-TW_Nfp01","119-3466","PS3405","Whole Body Minus Guts","Chinook salmon","Central Eastern","Stilliguamish ","Triangle Cove","Nearshore",NA,"fry/parr",68.582,4,4,1,20,"Hatchery","Spring 2016",1.14457086803933,"0.22","< 0.15","< 0.16","< 0.16","< 0.16","< 0.16","< 0.16","< 0.16","< 0.16","< 0.16","< 0.16","< 0.45","< 0.16","< 0.45","< 0.16","< 0.16","< 0.16","< 0.45","< 0.16","0.28999999999999898","0.26","0.28999999999999898","0.2","< 0.16","0.17","0.21","0.17","0.2","< 0.16","< 0.16","< 0.16","0.17","0.28000000000000003","0.48","0.21","0.42","0.44","< 0.16",0.9,"0.44","< 0.16",0.99,"< 0.16","< 0.16","< 0.16","< 0.16","< 0.16","0.22","< 0.16","0.27","< 0.16","< 0.16","< 0.16","< 0.16","< 0.16","< 0.16","< 0.16","< 0.16",6.6,8.9,"< 0.16","< 0.16","0.28000000000000003","0.17",1.6,"< 0.16",2.1,"< 0.16","0.42","0.24","< 0.16","< 0.16","0.18","< 0.16","< 0.16","< 0.16","< 0.16","< 0.16","0.84","< 0.16","< 0.16","< 0.16","< 0.16",NA,NA,"PSJuvChin16A",2016-08-25,2016-11-07,"2016_Juvenile_Chinook",161.622,12.4725,-0.14002,0.087286,12.1458,-0.10673,0.052582,102.877,43.5099,0.36017,1.8832,-18.5731,0.061567,0.035394,55.83,0.92138,-0.041718,0.1494,12.6568,-0.18225,0.18161
"9","16ST-TW_Nfp02","119-3467","PS3405","Whole Body Minus Guts","Chinook salmon","Central Eastern","Stilliguamish ","Driftwood Shores Acres","Nearshore",NA,"fry/parr",68.282,3.36,5,0,0,"Hatchery","Spring 2016",1.17679738370731,"0.27","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.55","< 0.19","< 0.55","< 0.19","< 0.19","< 0.19","< 0.55","< 0.19","0.31","0.28000000000000003","0.28999999999999898","0.21","< 0.19","< 0.19","0.21","< 0.19","0.23","< 0.19","< 0.19","< 0.19","< 0.19","0.33","0.5","0.21","0.48","0.52","< 0.19",1.1,"0.52","< 0.19",1.2,"< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","0.26","< 0.19","0.32","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19",6.9,9.6,"< 0.19","< 0.19","< 0.19","< 0.19",1.9,"< 0.19",1.9,"< 0.19","0.38","0.22","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","< 0.19","0.6","< 0.19","< 0.19","< 0.19","< 0.19",NA,"Sample used up.","PSJuvChin16A",2016-08-25,2016-11-07,"2016_Juvenile_Chinook",217.401,12.8865,-0.14002,0.087286,12.058,-0.10673,0.052582,133.266,43.3044,0.36017,1.8832,-18.5375,0.061567,0.035394,60.094,0.99755,-0.041718,0.1494,12.8335,-0.18225,0.18161
"10","16ST-TW_Nfp03","119-3468","PS3405","Whole Body Minus Guts","Chinook salmon","Central Eastern","Stilliguamish ","S Camano CC","Nearshore",NA,"fry/parr",71.86,4.15,6,0,0,"Hatchery","Spring 2016",1.94540103805426,"0.35","< 0.17","< 0.17","< 0.17","< 0.17","< 0.17","< 0.17","< 0.17","< 0.17","< 0.17","< 0.17","< 0.50","< 0.17","< 0.50","< 0.17","< 0.17","< 0.17","< 0.50","< 0.17","0.36","0.32","0.31","0.23","0.19","0.21","0.27","0.21","0.26","< 0.17","< 0.17","0.19","0.22","0.42","0.67","0.26","0.59","0.6","0.18",1.3,"0.65","0.18",1.5,"< 0.17","< 0.17","< 0.17","< 0.17","< 0.17","0.32","< 0.17","0.39","< 0.17","< 0.17","< 0.17","< 0.17","< 0.17","< 0.17","< 0.17","< 0.17",9.8,13,"< 0.17","< 0.17","< 0.17","0.21",1.8,"< 0.17",2,"< 0.17","0.63","0.25","< 0.17","< 0.17","0.23","0.19","< 0.17","< 0.17","< 0.17","< 0.17","1.3","< 0.17","< 0.17","< 0.17","< 0.17",NA,NA,"PSJuvChin16A",2016-08-25,2016-11-07,"2016_Juvenile_Chinook",185.546,12.1033,-0.14002,0.087286,11.436,-0.10673,0.052582,118.558,42.3887,0.36017,1.8832,-18.8017,0.061567,0.035394,54.078,0.91705,-0.041718,0.1494,12.488,-0.18225,0.18161
